Customer,Location_ID,Type,X,Y,Start,End,Demand
1,C1_HOME_MORNING,home_morning,34.737,15.718,0.0,5.163,8
1,C1_HOME_EVENING,home_evening,34.737,15.718,5.163,12.0,8
2,C2_HOME_MORNING,home_morning,12.346,-3.107,0.0,0.121,2
2,C2_ROAMING_1,roaming_1,15.934,-6.826,5.289,5.616,2
2,C2_HOME_EVENING,home_evening,12.346,-3.107,10.784,12.0,2
3,C3_HOME_MORNING,home_morning,-36.475,36.944,0.0,8.088,1
3,C3_HOME_EVENING,home_evening,-36.475,36.944,8.088,12.0,1
4,C4_HOME_MORNING,home_morning,28.875,6.46,0.0,0.516,7
4,C4_ROAMING_1,roaming_1,30.658,18.489,1.741,2.956,7
4,C4_ROAMING_2,roaming_2,30.452,-5.222,5.344,6.655,7
4,C4_HOME_EVENING,home_evening,28.875,6.46,7.842,12.0,7
5,C5_HOME_MORNING,home_morning,-2.024,-19.923,0.0,2.123,9
5,C5_ROAMING_1,roaming_1,8.856,-27.143,4.523,7.752,9
5,C5_HOME_EVENING,home_evening,-2.024,-19.923,10.152,12.0,9
6,C6_HOME_MORNING,home_morning,16.671,-16.281,0.0,1.489,4
6,C6_ROAMING_1,roaming_1,19.371,-20.995,2.19,3.266,4
6,C6_ROAMING_2,roaming_2,2.334,-17.438,5.51,8.11,4
6,C6_HOME_EVENING,home_evening,16.671,-16.281,9.965,12.0,4
7,C7_HOME,home,-15.537,13.421,0.0,12,2
8,C8_HOME_MORNING,home_morning,21.291,-32.376,0.0,2.839,10
8,C8_ROAMING_1,roaming_1,18.405,-21.633,4.267,5.807,10
8,C8_ROAMING_2,roaming_2,13.568,-37.763,7.969,10.567,10
8,C8_HOME_EVENING,home_evening,21.291,-32.376,11.776,12.0,10
9,C9_HOME_MORNING,home_morning,22.3,-14.021,0.0,2.873,8
9,C9_ROAMING_1,roaming_1,30.003,-21.954,5.273,8.436,8
9,C9_HOME_EVENING,home_evening,22.3,-14.021,10.836,12.0,8
10,C10_HOME_MORNING,home_morning,-27.676,-33.247,0.0,0.213,7
10,C10_ROAMING_1,roaming_1,-17.724,-31.467,2.515,4.177,7
10,C10_ROAMING_2,roaming_2,-22.828,-30.213,5.374,9.295,7
10,C10_HOME_EVENING,home_evening,-27.676,-33.247,10.597,12.0,7
11,C11_HOME_MORNING,home_morning,38.43,-15.24,0.0,4.003,2
11,C11_HOME_EVENING,home_evening,38.43,-15.24,4.003,12.0,2
12,C12_HOME_MORNING,home_morning,-37.393,9.159,0.0,0.119,10
12,C12_ROAMING_1,roaming_1,-42.278,16.293,1.943,5.678,10
12,C12_ROAMING_2,roaming_2,-40.025,6.316,7.836,10.492,10
12,C12_HOME_EVENING,home_evening,-37.393,9.159,11.309,12,10
13,C13_HOME_MORNING,home_morning,25.974,21.712,0.0,3.184,7
13,C13_ROAMING_1,roaming_1,14.198,13.477,5.584,8.026,7
13,C13_HOME_EVENING,home_evening,25.974,21.712,10.426,12.0,7
14,C14_HOME_MORNING,home_morning,-8.022,7.518,0.0,0.975,1
14,C14_ROAMING_1,roaming_1,-3.992,-5.237,3.375,6.538,1
14,C14_HOME_EVENING,home_evening,-8.022,7.518,8.938,12.0,1
15,C15_HOME_MORNING,home_morning,3.722,29.743,0.0,1.736,10
15,C15_ROAMING_1,roaming_1,14.18,30.352,3.182,5.388,10
15,C15_ROAMING_2,roaming_2,12.323,30.774,5.651,6.319,10
15,C15_ROAMING_3,roaming_3,4.245,39.918,8.003,8.033,10
15,C15_HOME_EVENING,home_evening,3.722,29.743,9.439,12.0,10
16,C16_HOME_MORNING,home_morning,3.424,9.187,0.0,7.659,9
16,C16_HOME_EVENING,home_evening,3.424,9.187,7.659,12.0,9
17,C17_HOME_MORNING,home_morning,20.088,24.42,0.0,5.182,1
17,C17_ROAMING_1,roaming_1,17.445,17.349,7.582,8.057,1
17,C17_HOME_EVENING,home_evening,20.088,24.42,10.457,12.0,1
18,C18_HOME_MORNING,home_morning,6.363,-1.86,0.0,3.684,7
18,C18_HOME_EVENING,home_evening,6.363,-1.86,3.684,12.0,7
19,C19_HOME_MORNING,home_morning,1.157,18.142,0.0,10.776,10
19,C19_HOME_EVENING,home_evening,1.157,18.142,10.776,12.0,10
20,C20_HOME_MORNING,home_morning,13.744,39.752,0.0,0.056,5
20,C20_ROAMING_1,roaming_1,10.632,53.885,1.27,3.238,5
20,C20_ROAMING_2,roaming_2,1.017,42.946,4.46,5.758,5
20,C20_ROAMING_3,roaming_3,21.244,42.31,7.456,9.826,5
20,C20_HOME_EVENING,home_evening,13.744,39.752,10.491,12.0,5
21,C21_HOME_MORNING,home_morning,-16.739,13.012,0.0,0.984,6
21,C21_ROAMING_1,roaming_1,-15.159,17.679,5.911,6.386,6
21,C21_HOME_EVENING,home_evening,-16.739,13.012,11.313,12.0,6
22,C22_HOME_MORNING,home_morning,-28.233,30.239,0.0,2.334,5
22,C22_ROAMING_1,roaming_1,-29.913,22.557,4.734,8.351,5
22,C22_HOME_EVENING,home_evening,-28.233,30.239,10.751,12.0,5
23,C23_HOME_MORNING,home_morning,-27.43,18.643,0.0,2.73,5
23,C23_ROAMING_1,roaming_1,-33.138,9.409,5.13,7.464,5
23,C23_HOME_EVENING,home_evening,-27.43,18.643,9.864,12,5
24,C24_HOME_MORNING,home_morning,16.134,-0.755,0.0,3.563,1
24,C24_HOME_EVENING,home_evening,16.134,-0.755,3.563,12.0,1
25,C25_HOME_MORNING,home_morning,35.015,-5.944,0.0,2.238,6
25,C25_ROAMING_1,roaming_1,27.317,4.196,4.638,6.423,6
