Customer,Location_ID,Type,X,Y,Start,End,Demand
1,C1_HOME_MORNING,home_morning,27.285,-34.165,0.0,2.0,9
1,C1_WORK,work,2.834,-10.453,6.0,10.0,9
1,C1_AFTERWORK,after_work,26.719,-21.872,10.25,11.484,9
1,C1_HOME_EVENING,home_evening,27.285,-34.165,12.0,14,9
2,C2_HOME_MORNING,home_morning,-37.374,19.221,0.0,2.0,1
2,C2_WORK,work,23.458,18.027,2.171,9.228,1
2,C2_AFTERWORK,after_work,-29.532,10.047,9.478,10.666,1
2,C2_HOME_EVENING,home_evening,-37.374,19.221,12.0,14,1
3,C3_HOME_MORNING,home_morning,-30.969,-13.159,0.0,2.0,1
3,C3_WORK,work,27.107,2.793,2.629,10.428,1
3,C3_AFTERWORK,after_work,-30.303,-12.208,10.678,12.519,1
3,C3_HOME_EVENING,home_evening,-30.969,-13.159,12.619,14,1
4,C4_HOME,home,-15.588,14.857,0.0,14,4
5,C5_HOME_MORNING,home_morning,35.525,25.923,0.0,2.0,10
5,C5_WORK,work,-27.622,4.889,2.6,10.243,10
5,C5_HOME_EVENING,home_evening,35.525,25.923,12.0,14,10
6,C6_HOME_MORNING,home_morning,-25.98,7.866,0.0,2.0,4
6,C6_WORK,work,1.022,15.44,2.166,9.518,4
6,C6_AFTERWORK,after_work,-28.385,5.857,9.768,11.229,4
6,C6_HOME_EVENING,home_evening,-25.98,7.866,12.0,14,4
7,C7_HOME_MORNING,home_morning,-28.946,-36.496,0.0,2.0,5
7,C7_WORK,work,-3.05,12.873,2.681,10.677,5
7,C7_AFTERWORK,after_work,-16.319,-22.347,10.927,12.418,5
7,C7_HOME_EVENING,home_evening,-28.946,-36.496,12.518,14,5
8,C8_HOME,home,-1.85,34.457,0.0,14,6
9,C9_HOME_MORNING,home_morning,16.548,-9.868,0.0,2.0,1
9,C9_WORK,work,4.267,-12.135,3.619,8.429,1
9,C9_HOME_EVENING,home_evening,16.548,-9.868,12.0,14,1
10,C10_HOME_MORNING,home_morning,-1.097,-31.374,0.0,2.0,8
10,C10_WORK,work,-0.096,4.622,2.808,10.439,8
10,C10_HOME_EVENING,home_evening,-1.097,-31.374,12.0,14,8
11,C11_HOME,home,6.731,34.559,0.0,14,6
12,C12_HOME_MORNING,home_morning,-24.901,-18.825,0.0,2.0,9
12,C12_WORK,work,-28.14,11.074,2.385,9.929,9
12,C12_AFTERWORK,after_work,-30.303,-12.208,10.179,11.525,9
12,C12_HOME_EVENING,home_evening,-24.901,-18.825,12.0,14,9
13,C13_HOME_MORNING,home_morning,28.441,17.452,0.0,2.0,6
13,C13_WORK,work,-1.008,25.605,2.064,9.565,6
13,C13_AFTERWORK,after_work,18.314,19.517,9.815,11.14,6
13,C13_HOME_EVENING,home_evening,28.441,17.452,12.0,14,6
14,C14_HOME_MORNING,home_morning,-27.903,5.765,0.0,2.0,1
14,C14_WORK,work,-4.954,31.749,2.981,10.185,1
14,C14_AFTERWORK,after_work,-28.385,5.857,10.435,12.398,1
14,C14_HOME_EVENING,home_evening,-27.903,5.765,12.498,14,1
15,C15_HOME_MORNING,home_morning,32.694,-38.943,0.0,2.0,4
15,C15_WORK,work,29.439,12.921,2.484,9.926,4
15,C15_AFTERWORK,after_work,26.719,-21.872,10.176,11.641,4
15,C15_HOME_EVENING,home_evening,32.694,-38.943,12.0,14,4
